"HF","Financing scheme","HC","Function","HP","Provider","MEASURE","Measure","LOCATION","Country","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HP6","Providers of preventive care","UNPPER","Per capita, current prices","FRA","France","1970","1970","EUR","Euro","0","Units",,,2.123,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HP6","Providers of preventive care","UNPPER","Per capita, current prices","FRA","France","1975","1975","EUR","Euro","0","Units",,,5.755,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HP6","Providers of preventive care","UNPPER","Per capita, current prices","FRA","France","1980","1980","EUR","Euro","0","Units",,,11.059,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HP6","Providers of preventive care","UNPPER","Per capita, current prices","FRA","France","1985","1985","EUR","Euro","0","Units",,,18.315,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HP6","Providers of preventive care","UNPPER","Per capita, current prices","FRA","France","1990","1990","EUR","Euro","0","Units",,,21.319,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HP6","Providers of preventive care","UNPPER","Per capita, current prices","FRA","France","1991","1991","EUR","Euro","0","Units",,,22.787,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HP6","Providers of preventive care","UNPPER","Per capita, current prices","FRA","France","1992","1992","EUR","Euro","0","Units",,,24.459,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HP6","Providers of preventive care","UNPPER","Per capita, current prices","FRA","France","1993","1993","EUR","Euro","0","Units",,,26.164,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HP6","Providers of preventive care","UNPPER","Per capita, current prices","FRA","France","1994","1994","EUR","Euro","0","Units",,,28.044,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HP6","Providers of preventive care","UNPPER","Per capita, current prices","FRA","France","1995","1995","EUR","Euro","0","Units",,,11.315,"B","Break"
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HP6","Providers of preventive care","UNPPER","Per capita, current prices","FRA","France","1996","1996","EUR","Euro","0","Units",,,11.762,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HP6","Providers of preventive care","UNPPER","Per capita, current prices","FRA","France","1997","1997","EUR","Euro","0","Units",,,12.178,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HP6","Providers of preventive care","UNPPER","Per capita, current prices","FRA","France","1998","1998","EUR","Euro","0","Units",,,12.536,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HP6","Providers of preventive care","UNPPER","Per capita, current prices","FRA","France","1999","1999","EUR","Euro","0","Units",,,13.041,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HP6","Providers of preventive care","UNPPER","Per capita, current prices","FRA","France","2000","2000","EUR","Euro","0","Units",,,13.854,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HP6","Providers of preventive care","UNPPER","Per capita, current prices","FRA","France","2001","2001","EUR","Euro","0","Units",,,13.924,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HP6","Providers of preventive care","UNPPER","Per capita, current prices","FRA","France","2002","2002","EUR","Euro","0","Units",,,13.182,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HP6","Providers of preventive care","UNPPER","Per capita, current prices","FRA","France","2003","2003","EUR","Euro","0","Units",,,13.216,"B","Break"
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HP6","Providers of preventive care","UNPPER","Per capita, current prices","FRA","France","2004","2004","EUR","Euro","0","Units",,,14.103,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HP6","Providers of preventive care","UNPPER","Per capita, current prices","FRA","France","2005","2005","EUR","Euro","0","Units",,,14.918,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HP6","Providers of preventive care","UNPPER","Per capita, current prices","FRA","France","2006","2006","EUR","Euro","0","Units",,,14.936,"B","Break"
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HP6","Providers of preventive care","UNPPER","Per capita, current prices","FRA","France","2007","2007","EUR","Euro","0","Units",,,16.789,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HP6","Providers of preventive care","UNPPER","Per capita, current prices","FRA","France","2008","2008","EUR","Euro","0","Units",,,17.254,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HP6","Providers of preventive care","UNPPER","Per capita, current prices","FRA","France","2009","2009","EUR","Euro","0","Units",,,25.283,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HP6","Providers of preventive care","UNPPER","Per capita, current prices","FRA","France","2010","2010","EUR","Euro","0","Units",,,16.221,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HP6","Providers of preventive care","UNPPER","Per capita, current prices","FRA","France","2011","2011","EUR","Euro","0","Units",,,16.181,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HP6","Providers of preventive care","UNPPER","Per capita, current prices","FRA","France","2012","2012","EUR","Euro","0","Units",,,16.609,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HP6","Providers of preventive care","UNPPER","Per capita, current prices","FRA","France","2013","2013","EUR","Euro","0","Units",,,17.268,"B","Break"
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HP6","Providers of preventive care","UNPPER","Per capita, current prices","FRA","France","2014","2014","EUR","Euro","0","Units",,,16.53,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HP6","Providers of preventive care","UNPPER","Per capita, current prices","FRA","France","2015","2015","EUR","Euro","0","Units",,,16.108,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HP6","Providers of preventive care","UNPPER","Per capita, current prices","FRA","France","2016","2016","EUR","Euro","0","Units",,,15.8,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HP6","Providers of preventive care","UNPPER","Per capita, current prices","FRA","France","2017","2017","EUR","Euro","0","Units",,,17.222,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HP6","Providers of preventive care","UNPPER","Per capita, current prices","FRA","France","2018","2018","EUR","Euro","0","Units",,,16.824,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HP6","Providers of preventive care","UNPPER","Per capita, current prices","FRA","France","2019","2019","EUR","Euro","0","Units",,,17.298,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HP6","Providers of preventive care","UNPPER","Per capita, current prices","FRA","France","2020","2020","EUR","Euro","0","Units",,,30.005,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HP6","Providers of preventive care","UNPPER","Per capita, current prices","FRA","France","2021","2021","EUR","Euro","0","Units",,,67.021,,
"HFTOT","All financing schemes","HC3","Long-term care (health)","HPTOT","All providers","PARPIB","Share of gross domestic product","FRA","France","1970","1970","PC","Percentage","0","Units",,,0.035,,
"HFTOT","All financing schemes","HC3","Long-term care (health)","HPTOT","All providers","PARPIB","Share of gross domestic product","FRA","France","1975","1975","PC","Percentage","0","Units",,,0.056,,
"HFTOT","All financing schemes","HC3","Long-term care (health)","HPTOT","All providers","PARPIB","Share of gross domestic product","FRA","France","1980","1980","PC","Percentage","0","Units",,,0.094,,
"HFTOT","All financing schemes","HC3","Long-term care (health)","HPTOT","All providers","PARPIB","Share of gross domestic product","FRA","France","1985","1985","PC","Percentage","0","Units",,,0.165,,
"HFTOT","All financing schemes","HC3","Long-term care (health)","HPTOT","All providers","PARPIB","Share of gross domestic product","FRA","France","1990","1990","PC","Percentage","0","Units",,,0.215,,
"HFTOT","All financing schemes","HC3","Long-term care (health)","HPTOT","All providers","PARPIB","Share of gross domestic product","FRA","France","1991","1991","PC","Percentage","0","Units",,,0.229,,
"HFTOT","All financing schemes","HC3","Long-term care (health)","HPTOT","All providers","PARPIB","Share of gross domestic product","FRA","France","1992","1992","PC","Percentage","0","Units",,,0.247,,
"HFTOT","All financing schemes","HC3","Long-term care (health)","HPTOT","All providers","PARPIB","Share of gross domestic product","FRA","France","1993","1993","PC","Percentage","0","Units",,,0.272,,
"HFTOT","All financing schemes","HC3","Long-term care (health)","HPTOT","All providers","PARPIB","Share of gross domestic product","FRA","France","1994","1994","PC","Percentage","0","Units",,,0.289,,
"HFTOT","All financing schemes","HC3","Long-term care (health)","HPTOT","All providers","PARPIB","Share of gross domestic product","FRA","France","1995","1995","PC","Percentage","0","Units",,,0.835,"B","Break"
"HFTOT","All financing schemes","HC3","Long-term care (health)","HPTOT","All providers","PARPIB","Share of gross domestic product","FRA","France","1996","1996","PC","Percentage","0","Units",,,0.87,,
"HFTOT","All financing schemes","HC3","Long-term care (health)","HPTOT","All providers","PARPIB","Share of gross domestic product","FRA","France","1997","1997","PC","Percentage","0","Units",,,0.863,,
"HFTOT","All financing schemes","HC3","Long-term care (health)","HPTOT","All providers","PARPIB","Share of gross domestic product","FRA","France","1998","1998","PC","Percentage","0","Units",,,0.849,,
"HFTOT","All financing schemes","HC3","Long-term care (health)","HPTOT","All providers","PARPIB","Share of gross domestic product","FRA","France","1999","1999","PC","Percentage","0","Units",,,0.843,,
"HFTOT","All financing schemes","HC3","Long-term care (health)","HPTOT","All providers","PARPIB","Share of gross domestic product","FRA","France","2000","2000","PC","Percentage","0","Units",,,0.844,,
"HFTOT","All financing schemes","HC3","Long-term care (health)","HPTOT","All providers","PARPIB","Share of gross domestic product","FRA","France","2001","2001","PC","Percentage","0","Units",,,0.852,,
"HFTOT","All financing schemes","HC3","Long-term care (health)","HPTOT","All providers","PARPIB","Share of gross domestic product","FRA","France","2002","2002","PC","Percentage","0","Units",,,0.936,,
"HFTOT","All financing schemes","HC3","Long-term care (health)","HPTOT","All providers","PARPIB","Share of gross domestic product","FRA","France","2003","2003","PC","Percentage","0","Units",,,0.849,"B","Break"
"HFTOT","All financing schemes","HC3","Long-term care (health)","HPTOT","All providers","PARPIB","Share of gross domestic product","FRA","France","2004","2004","PC","Percentage","0","Units",,,0.883,,
"HFTOT","All financing schemes","HC3","Long-term care (health)","HPTOT","All providers","PARPIB","Share of gross domestic product","FRA","France","2005","2005","PC","Percentage","0","Units",,,0.932,,
"HFTOT","All financing schemes","HC3","Long-term care (health)","HPTOT","All providers","PARPIB","Share of gross domestic product","FRA","France","2006","2006","PC","Percentage","0","Units",,,1.167,"B","Break"
"HFTOT","All financing schemes","HC3","Long-term care (health)","HPTOT","All providers","PARPIB","Share of gross domestic product","FRA","France","2007","2007","PC","Percentage","0","Units",,,1.226,,
"HFTOT","All financing schemes","HC3","Long-term care (health)","HPTOT","All providers","PARPIB","Share of gross domestic product","FRA","France","2008","2008","PC","Percentage","0","Units",,,1.348,,
"HFTOT","All financing schemes","HC3","Long-term care (health)","HPTOT","All providers","PARPIB","Share of gross domestic product","FRA","France","2009","2009","PC","Percentage","0","Units",,,1.562,,
"HFTOT","All financing schemes","HC3","Long-term care (health)","HPTOT","All providers","PARPIB","Share of gross domestic product","FRA","France","2010","2010","PC","Percentage","0","Units",,,1.618,,
"HFTOT","All financing schemes","HC3","Long-term care (health)","HPTOT","All providers","PARPIB","Share of gross domestic product","FRA","France","2011","2011","PC","Percentage","0","Units",,,1.625,,
"HFTOT","All financing schemes","HC3","Long-term care (health)","HPTOT","All providers","PARPIB","Share of gross domestic product","FRA","France","2012","2012","PC","Percentage","0","Units",,,1.675,,
"HFTOT","All financing schemes","HC3","Long-term care (health)","HPTOT","All providers","PARPIB","Share of gross domestic product","FRA","France","2013","2013","PC","Percentage","0","Units",,,1.717,"B","Break"
"HFTOT","All financing schemes","HC3","Long-term care (health)","HPTOT","All providers","PARPIB","Share of gross domestic product","FRA","France","2014","2014","PC","Percentage","0","Units",,,1.752,,
"HFTOT","All financing schemes","HC3","Long-term care (health)","HPTOT","All providers","PARPIB","Share of gross domestic product","FRA","France","2015","2015","PC","Percentage","0","Units",,,1.748,,
"HFTOT","All financing schemes","HC3","Long-term care (health)","HPTOT","All providers","PARPIB","Share of gross domestic product","FRA","France","2016","2016","PC","Percentage","0","Units",,,1.758,,
"HFTOT","All financing schemes","HC3","Long-term care (health)","HPTOT","All providers","PARPIB","Share of gross domestic product","FRA","France","2017","2017","PC","Percentage","0","Units",,,1.759,,
"HFTOT","All financing schemes","HC3","Long-term care (health)","HPTOT","All providers","PARPIB","Share of gross domestic product","FRA","France","2018","2018","PC","Percentage","0","Units",,,1.751,,
"HFTOT","All financing schemes","HC3","Long-term care (health)","HPTOT","All providers","PARPIB","Share of gross domestic product","FRA","France","2019","2019","PC","Percentage","0","Units",,,1.753,,
"HFTOT","All financing schemes","HC3","Long-term care (health)","HPTOT","All providers","PARPIB","Share of gross domestic product","FRA","France","2020","2020","PC","Percentage","0","Units",,,2.006,,
"HFTOT","All financing schemes","HC3","Long-term care (health)","HPTOT","All providers","PARPIB","Share of gross domestic product","FRA","France","2021","2021","PC","Percentage","0","Units",,,1.955,,
"HF1","Government/compulsory schemes","HC3","Long-term care (health)","HPTOT","All providers","UNPPER","Per capita, current prices","FRA","France","1970","1970","EUR","Euro","0","Units",,,0.858,,
"HF1","Government/compulsory schemes","HC3","Long-term care (health)","HPTOT","All providers","UNPPER","Per capita, current prices","FRA","France","1975","1975","EUR","Euro","0","Units",,,2.438,,
"HF1","Government/compulsory schemes","HC3","Long-term care (health)","HPTOT","All providers","UNPPER","Per capita, current prices","FRA","France","1980","1980","EUR","Euro","0","Units",,,7.699,,
"HF1","Government/compulsory schemes","HC3","Long-term care (health)","HPTOT","All providers","UNPPER","Per capita, current prices","FRA","France","1985","1985","EUR","Euro","0","Units",,,22.11,,
"HF1","Government/compulsory schemes","HC3","Long-term care (health)","HPTOT","All providers","UNPPER","Per capita, current prices","FRA","France","1990","1990","EUR","Euro","0","Units",,,38.852,,
"HF1","Government/compulsory schemes","HC3","Long-term care (health)","HPTOT","All providers","UNPPER","Per capita, current prices","FRA","France","1991","1991","EUR","Euro","0","Units",,,42.758,,
"HF1","Government/compulsory schemes","HC3","Long-term care (health)","HPTOT","All providers","UNPPER","Per capita, current prices","FRA","France","1992","1992","EUR","Euro","0","Units",,,47.513,,
"HF1","Government/compulsory schemes","HC3","Long-term care (health)","HPTOT","All providers","UNPPER","Per capita, current prices","FRA","France","1993","1993","EUR","Euro","0","Units",,,52.592,,
"HF1","Government/compulsory schemes","HC3","Long-term care (health)","HPTOT","All providers","UNPPER","Per capita, current prices","FRA","France","1994","1994","EUR","Euro","0","Units",,,57.551,,
"HF1","Government/compulsory schemes","HC3","Long-term care (health)","HPTOT","All providers","UNPPER","Per capita, current prices","FRA","France","1995","1995","EUR","Euro","0","Units",,,169.607,"B","Break"
"HF1","Government/compulsory schemes","HC3","Long-term care (health)","HPTOT","All providers","UNPPER","Per capita, current prices","FRA","France","1996","1996","EUR","Euro","0","Units",,,181.113,,
"HF1","Government/compulsory schemes","HC3","Long-term care (health)","HPTOT","All providers","UNPPER","Per capita, current prices","FRA","France","1997","1997","EUR","Euro","0","Units",,,184.693,,
"HF1","Government/compulsory schemes","HC3","Long-term care (health)","HPTOT","All providers","UNPPER","Per capita, current prices","FRA","France","1998","1998","EUR","Euro","0","Units",,,189.319,,
"HF1","Government/compulsory schemes","HC3","Long-term care (health)","HPTOT","All providers","UNPPER","Per capita, current prices","FRA","France","1999","1999","EUR","Euro","0","Units",,,193.859,,
"HF1","Government/compulsory schemes","HC3","Long-term care (health)","HPTOT","All providers","UNPPER","Per capita, current prices","FRA","France","2000","2000","EUR","Euro","0","Units",,,203.344,,
